,open,high,low,close,volume,trade_count,vwap,sma5,sma10,sma20,sma50,sma100,sma200,ema13,ema485,std,lower20,upper20,rsi,macd_delta,stochastic_delta,plus_di,minus_di,adx_smooth,kijun_sen,tenkan_sen,senkou_span_a,senkou_span_b,obv
2020-10-10,374.5,375.47,369.67,370.86,17.768,4.0,373.1889672445,362.57,355.054,352.577,371.02920000000006,0.0,0.0,358.8607407881276,363.7681561062685,12.165971436758007,328.24505712648397,376.908942873516,54.83651295345218,1.660454578374236,-2.217786353773164,34.057670294186025,31.112117132136387,20.886886941587605,353.575,356.05,354.8125,399.62,-1946.8819999999998
2020-10-11,377.16,377.16,373.01,373.01,124.012,23.0,379.3815648486,370.56399999999996,358.725,354.6965,370.3276,0.0,0.0,362.21430564628025,364.6087814430669,13.408800943783577,327.87889811243286,381.51410188756716,58.04602042372484,1.9449837072317626,-3.2462383853739283,37.969790190147435,31.24678022685865,19.682146896257798,353.575,363.245,358.40999999999997,399.62,-1822.87
2020-10-12,374.91,391.55,365.75,382.33,18.735,16.0,380.8670440352,376.73400000000004,362.15,357.578,370.27420000000006,0.0,0.0,364.9328272569811,365.35831243858416,12.585795405933274,332.4064091881334,382.74959081186654,57.53108971334201,1.965237565387411,-3.4361067116660564,34.85969669616529,28.68736635059605,18.9342327196628,352.44,363.245,357.8425,399.62,-1841.6049999999998
2020-10-13,381.27,385.44,376.23,381.24,115.085,12.0,381.8123725942,376.71999999999997,364.48300000000006,359.1585,370.0942,0.0,0.0,366.5369949875513,365.8428600288701,12.832862609332771,333.49277478133445,384.82422521866556,55.078740887839736,1.7036625486906125,-6.624271330153633,33.33627319644,26.74033703417919,18.251667944325114,352.44,363.245,357.8425,399.62,-1956.6899999999998
2020-10-14,382.26,386.98,376.16,376.16,137.486,28.0,376.3597671036,376.33599999999996,365.986,360.074,369.71299999999997,0.0,0.0,366.8803338691676,365.9811769793255,12.844895639903468,334.3842087201931,385.7637912798069,51.7053016688049,1.2226592004143726,-11.493846787964465,30.897626459666828,31.332992492729904,17.655115800404914,352.44,363.245,357.8425,399.62,-2094.176
2020-10-15,373.05,381.27,364.83,368.94,43.281,18.0,366.2027869042,374.7,368.63500000000005,360.3855,369.2710000000001,0.0,0.0,366.58739067150816,365.92998376074416,12.880863897658848,334.62377220468227,386.1472277953177,49.834165540849575,0.7275734136149162,-9.09144438556207,30.204341498196673,32.53454157766807,16.411690540760617,352.44,363.245,357.8425,399.62,-2137.457
2020-10-16,369.94,369.94,361.7,364.83,18.255,7.0,367.6670095864,372.022,371.293,360.9,368.75,0.0,0.0,366.9235154443638,366.063298077647,13.006164692176213,334.88767061564755,386.9123293843524,51.71590331130487,0.4917468789148387,2.420067125949487,28.21509539485863,30.39182940958026,15.471222406030968,352.44,369.91499999999996,361.1775,399.62,-2119.2019999999998
2020-10-17,368.94,368.94,364.83,368.94,24.811,11.0,373.7107460401,370.384,373.55899999999997,361.8505,368.1322,0.0,0.0,367.7988117306459,366.37154282708906,13.163776614255166,335.52294677148967,388.17805322851035,53.5906443384966,0.4243580178512616,7.260201377848453,31.02292539570109,28.032431006466187,14.60982518563245,352.44,376.625,364.5325,399.62,-2094.3909999999996
2020-10-18,373.05,377.16,372.75,373.05,45.913,13.0,379.3714296604,370.95799999999997,373.839,363.102,367.18700000000007,0.0,0.0,369.4033995127673,366.92795157362355,13.5423043090905,336.017391381819,390.18660861818097,56.25221087906654,0.5145831210639245,9.46240358005059,30.490094901781184,25.29265975713841,13.928755625405364,358.15,376.625,367.3875,399.62,-2048.4779999999996
2020-10-19,377.16,381.39,377.16,379.03,240.496,62.0,372.6471478112,373.062,374.699,363.923,365.9104,0.0,0.0,370.84015827592356,367.47685455734415,14.003534589524575,335.91593082095085,391.93006917904916,56.445637127902124,0.530483044644634,4.027556968733421,29.384660645765482,30.02947446876403,13.546461850084503,363.245,376.625,369.935,399.62,-1807.9819999999995
2020-10-20,378.1,379.46,367.94,379.46,482.449,202.0,393.7552745679,378.72200000000004,376.71099999999996,365.8825,364.297,0.0,0.0,374.0246143039192,368.5966580767442,15.163402281480607,335.55569543703876,396.2093045629612,62.171754442179086,0.8824541490095563,6.239192237934461,36.73943453248148,25.1654945315186,12.72446191568484,368.145,381.525,374.835,399.62,-1325.5329999999994
2020-10-21,381.58,401.35,378.67,393.13,148.997,86.0,410.387258871,387.84000000000003,379.931,369.328,363.84020000000004,0.0,0.0,379.81139847359225,370.5952360267327,17.772389147214035,333.7832217055719,404.87277829442803,69.0350008428128,1.63288248704625,7.083998361445822,41.658911513671015,22.20041236773326,13.223365355364693,376.94,390.32,383.63,399.62,-1176.5359999999994
2020-10-22,396.25,418.94,393.27,414.53,93.18,64.0,411.6933515776,395.86400000000003,383.124,372.637,364.3474,0.0,0.0,384.57712510038436,372.4419443812486,19.392397247375364,333.8522055052493,411.4217944947507,68.18829406702024,1.9073826838489971,-0.6602344104642555,41.19371827248459,21.910814298546114,14.484568884403483,377.01,390.39,383.7,395.23,-1269.7159999999994
2020-10-23,413.63,419.08,402.61,413.17,2.119,2.0,410.6913402548,402.068,386.513,375.498,364.8156000000001,0.0,0.0,388.2162460669097,374.06838533950435,20.451173951634466,334.59565209673104,416.40034790326894,66.18285456685649,1.8218592443444805,-4.977823493019088,38.969922158046835,20.727983863600404,15.657474631297685,377.01,390.39,383.7,373.43,-1271.8349999999994
2020-10-24,410.95,410.95,410.05,410.05,28.03,9.0,408.2536346771,407.98,390.52099999999996,378.25350000000003,366.5768,0.0,0.0,391.1883081048035,375.57565748652854,21.060433821505494,336.13263235698906,420.374367643011,65.49800509356861,1.5808015520835057,-3.009178575578062,36.699992540992014,21.66855771544089,16.718101914756787,377.01,391.955,384.48249999999996,364.98,-1299.8649999999993
2020-10-25,407.71,409.13,406.33,409.02,92.372,28.0,393.2535006279,407.62399999999997,393.173,380.904,367.47380000000004,0.0,0.0,391.211407594446,376.25407305393594,19.116439626667226,342.67112074666557,419.1368792533344,54.98599584791403,0.7749477881620166,-21.128151504589262,34.20717033250702,33.15620971581092,17.249713027418405,377.01,393.51,385.26,364.98,-1392.2369999999994
